gene,cirrhotic_endothelial,cirrhotic_macrophage-monocyte,cirrhotic_mesenchymal-HSC-myofibroblast,cirrhotic_other-or-unresolved,healthy_endothelial,healthy_macrophage-monocyte,healthy_mesenchymal-HSC-myofibroblast,healthy_other-or-unresolved
IYD,0.004295060717960041,0.007954149737748216,0.014277067495879326,0.007300292784360345,0.01953417039110174,0.014894578293726628,0.023954741090311177,0.01782024049093972
PLEKHG1,0.3010052966206062,0.023342210031075516,0.02634642781896283,0.03310198319260974,0.4793792616814538,0.031423812094664355,0.022170870463273398,0.021522727838485727
MTHFD1L,0.10863978902340891,0.04970781962209609,0.08675002764061222,0.024898673827621433,0.08023417367938376,0.0369366936776281,0.022526868834718626,0.01611295675210107
AKAP12,0.7753762188439927,0.0474688953216353,0.5369873849343293,0.010148007901806366,5.368418205581017,0.15823554775213472,0.8482381310912939,0.02990648197820221
ZBTB2,0.0574872790357765,0.09206265457116167,0.04257813482050602,0.13127541474107274,0.11321255008307216,0.12161407769898397,0.12986965027054895,0.1366749727290335
RMND1,0.07289083173582057,0.07906978873124916,0.057571531410415835,0.0715353767981208,0.07976778714010758,0.06609613930037472,0.06983817259537778,0.07104546143437804
ARMT1,0.09296393921157818,0.14196373224123615,0.06469610318907247,0.14534249166963023,0.13783362425300497,0.14845664165787284,0.11907344017455712,0.11703630562471538
CCDC170,0.0043542682201612335,0.04150286683862667,0.001159142515804475,0.0033251606472764366,0.0033898796552638043,0.047342276654985596,0.005598240737178104,0.006136539856922714
ESR1,0.01024032617667133,0.009641297806434598,0.022901597023062322,0.007145695584307583,0.0984800292742797,0.01457970826015235,0.008676388940794904,0.003150856893561426
SYNE1,0.3318247251857344,0.2363151873740152,0.4280945156925729,0.3730643958400903,0.8222235066668379,0.3075897943776432,0.7143507132662991,0.4970020315225695
MYCT1,1.1960972855784056,0.034074294262403916,0.0310711562777015,0.007759927277587897,2.366605503897587,0.07024758566097837,0.029211570281906813,0.00759063383061547
VIP,0.010361973907548784,8.054672559786476e-4,2.682840114640978e-4,6.725663825756136e-4,0.03211895677117971,0.0024692924247797766,0,6.88814135140237e-4
FBXO5,0.034077707833228985,0.03834499921947153,0.02091372646452741,0.050591149506207175,0.0288327513375837,0.05348855700890564,0.0554160360768781,0.05006155318770261
MTRF1L,0.21144827292534107,0.13367928060816878,0.13936002201329273,0.1097183251568289,0.49965760972963685,0.15929316491655,0.2239047826289315,0.14321437292578318
RGS17,0.014003600696013398,0.029579294533826357,0.016317833591625638,0.014898139742573806,0.023598595751861743,0.03927378204201722,0.027384978455428356,0.0475552462977373
RP11-306O13.1,0.002703399112030866,0.002546216369763229,0,0.00784014119395905,0.008574852079044355,0.0036792844169297764,0.001657978785628087,0.004276694600462206
IPCEF1,0.046004953768047606,0.18851737923109527,0.0321573617492323,0.24473626493418288,0.07889078330988976,0.3387790767571663,0.12186388661045677,0.3963657952053818
CNKSR3,0.31054234427435656,0.09748410658979416,0.093446786938652035,0.032904640293706516,0.9369173073685684,0.09194424405105946,0.12763216718155881,0.07593923020556233
SCAF8,0.10701353008428627,0.08789479734202453,0.08730623493231794,0.07326144390586069,0.12923723330775586,0.09714332966092763,0.09825659131231546,0.08939642464321619
TIAM2,0.028832995998819097,0.04719898081862968,0.01891500287185249,0.03787696922806993,0.06364796804773679,0.039929419689099126,0.04185716585180863,0.035036861437877945
