gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,compartment,contrast
TNK2,2.3770818739356368e-30,1.143232308298554,0.121,0.047,5.477509762109888e-26,endothelial,cirrhotic_vs_healthy_cell_level
GLRX5,2.3849172634977364e-30,0.6239689582733496,0.253,0.148,5.495564850277834e-26,endothelial,cirrhotic_vs_healthy_cell_level
BTG3,2.4065902228186937e-30,-1.068766402370025,0.154,0.244,5.545505850441116e-26,endothelial,cirrhotic_vs_healthy_cell_level
LHFPL2,2.5527788872867486e-30,-1.5290877047835694,0.057,0.124,5.882368389974855e-26,endothelial,cirrhotic_vs_healthy_cell_level
TOPORS,2.5606693262239037e-30,-1.0658609548401772,0.165,0.255,5.900550328417741e-26,endothelial,cirrhotic_vs_healthy_cell_level
GJA4,3.061597283835897e-30,-0.518623989677997,0.18,0.289,7.054838621143058e-26,endothelial,cirrhotic_vs_healthy_cell_level
PFKP,4.007872608051014e-30,1.2054989330438115,0.134,0.057,9.235340850731952e-26,endothelial,cirrhotic_vs_healthy_cell_level
HNRNPU-AS1,4.392311132492278e-30,-0.9628307945250435,0.207,0.299,1.0121202542601956e-25,endothelial,cirrhotic_vs_healthy_cell_level
FAM102A,4.54188341397804e-30,-1.5140397535770787,0.057,0.124,1.0465861950829598e-25,endothelial,cirrhotic_vs_healthy_cell_level
RP11-138A9.1,4.568511043983889e-30,-1.634709682666411,0.088,0.164,1.0527219998652076e-25,endothelial,cirrhotic_vs_healthy_cell_level
SOX4,5.9225434211079985e-30,0.4773937517551057,0.563,0.438,1.364731680525916e-25,endothelial,cirrhotic_vs_healthy_cell_level
ATP5G1,7.823361484350169e-30,0.4215855428242292,0.516,0.391,1.8027371868388094e-25,endothelial,cirrhotic_vs_healthy_cell_level
PCMTD1,9.503867803363479e-30,-0.7118576628362216,0.331,0.422,2.189976257929046e-25,endothelial,cirrhotic_vs_healthy_cell_level
JMJD1C,1.0062086435573971e-29,-0.7397470747595049,0.397,0.481,2.31860657734931e-25,endothelial,cirrhotic_vs_healthy_cell_level
ATP6AP2,1.341393996210497e-29,-0.6363615499762071,0.368,0.458,3.090974185467848e-25,endothelial,cirrhotic_vs_healthy_cell_level
PRICKLE2,1.4455800526892164e-29,-1.5724596623916796,0.047,0.109,3.3310501154117613e-25,endothelial,cirrhotic_vs_healthy_cell_level
GLTSCR2,1.5150370833430015e-29,0.26703098521046575,0.874,0.775,3.4910999511472786e-25,endothelial,cirrhotic_vs_healthy_cell_level
LYL1,1.6704989393869097e-29,0.7062374619552794,0.299,0.19,3.849330706029256e-25,endothelial,cirrhotic_vs_healthy_cell_level
PHLDA3,1.678859985739161e-29,1.0638162174744892,0.158,0.075,3.8685970651387487e-25,endothelial,cirrhotic_vs_healthy_cell_level
ZFP36,1.7347123522053936e-29,-0.3755982852862587,0.772,0.826,3.9972976731868886e-25,endothelial,cirrhotic_vs_healthy_cell_level
CAV1,1.9771318038856285e-29,0.255001695136404,0.734,0.608,4.555904815693654e-25,endothelial,cirrhotic_vs_healthy_cell_level
MATN2,2.128689577683844e-29,-1.4018814151171195,0.087,0.162,4.905139393856882e-25,endothelial,cirrhotic_vs_healthy_cell_level
INTS6,2.2217652791334025e-29,-0.6149644518714712,0.55,0.623,5.119613732707099e-25,endothelial,cirrhotic_vs_healthy_cell_level
FABP1,2.3657690004803561e-29,1.406429787751304,0.14,0.062,5.451441507806884e-25,endothelial,cirrhotic_vs_healthy_cell_level
TOB1,3.639626801431007e-29,-1.1350952221301247,0.151,0.24,8.386792038537469e-25,endothelial,cirrhotic_vs_healthy_cell_level
UQCRQ,5.476423158298886e-29,0.2866469189962515,0.791,0.683,1.2619321883668124e-24,endothelial,cirrhotic_vs_healthy_cell_level
PCAT19,6.20659876300337e-29,-0.37188507541524674,0.676,0.731,1.4301865529588665e-24,endothelial,cirrhotic_vs_healthy_cell_level
ASS1,6.454608733648476e-29,0.7149820912381544,0.27,0.164,1.4873354904946183e-24,endothelial,cirrhotic_vs_healthy_cell_level
DNAJC3,6.75398603363526e-29,-0.8540898633275982,0.25,0.343,1.5563210017305729e-24,endothelial,cirrhotic_vs_healthy_cell_level
HLA-DPA1,7.642163382353816e-29,0.32281653412297806,0.651,0.525,1.7609837081957896e-24,endothelial,cirrhotic_vs_healthy_cell_level
SAV1,7.643725401364326e-29,-0.9645450438128481,0.17,0.261,1.7613436442363814e-24,endothelial,cirrhotic_vs_healthy_cell_level
COX7A1,8.485983768864907e-29,0.40928383370306554,0.53,0.407,1.9554252398595405e-24,endothelial,cirrhotic_vs_healthy_cell_level
SNAPC1,1.13701911037388e-28,-1.165585810556899,0.118,0.198,2.6200331360345318e-24,endothelial,cirrhotic_vs_healthy_cell_level
TPM1,1.2651537102465413e-28,0.5738023656632445,0.327,0.213,2.915293694521105e-24,endothelial,cirrhotic_vs_healthy_cell_level
LIPA,1.3025398920108686e-28,-0.7604576207980092,0.24,0.336,3.0014426731606447e-24,endothelial,cirrhotic_vs_healthy_cell_level
TMEM47,1.3070007499128458e-28,-0.9943545094224517,0.182,0.27,3.0117218280241707e-24,endothelial,cirrhotic_vs_healthy_cell_level
FAM213A,1.3605581198708155e-28,-0.6029415497039095,0.395,0.483,3.13513407561832e-24,endothelial,cirrhotic_vs_healthy_cell_level
EIF3H,1.6899834297950316e-28,0.309582555340129,0.652,0.522,3.894228817276691e-24,endothelial,cirrhotic_vs_healthy_cell_level
